data,money
20140101,69800.0
20140102,113900.0
20140103,250900.0
20140104,74700.0
20140105,111200.0
20140106,149100.0
20140107,129800.0
20140108,85800.0
20140109,210400.0
20140110,77600.0
20140111,55300.0
20140112,42200.0
20140113,219400.0
20140114,83100.0
20140115,123400.0
20140116,212700.0
20140117,138600.0
20140118,90100.0
20140119,140300.0
20140120,67200.0
20140121,107300.0
20140122,128000.0
20140123,192800.0
20140124,108600.0
20140125,193100.0
20140126,95500.0
20140127,69800.0
20140128,241400.0
20140129,432900.0
20140130,81500.0
20140131,13100.0
20140201,25100.0
20140202,13400.0
20140203,44400.0
20140204,23100.0
20140205,147100.0
20140206,26900.0
20140207,42000.0
20140208,56100.0
20140209,50400.0
20140210,36900.0
20140211,75400.0
20140212,149300.0
20140213,38800.0
20140214,86200.0
20140215,35900.0
20140216,49400.0
20140217,157900.0
20140218,87400.0
20140219,70600.0
20140220,37800.0
20140221,75900.0
20140222,156000.0
20140223,71000.0
20140224,45800.0
20140225,160800.0
20140226,42200.0
20140227,56500.0
20140228,68700.0
20140301,249400.0
20140302,81600.0
20140303,44100.0
20140304,91100.0
20140305,173400.0
20140306,38400.0
20140307,33400.0
20140308,42400.0
20140309,64600.0
20140310,77900.0
20140311,121700.0
20140312,51600.0
20140313,23700.0
20140314,32500.0
20140315,46500.0
20140316,40000.0
20140317,221500.0
20140318,35100.0
20140319,56200.0
20140320,35600.0
20140321,269600.0
20140322,421800.0
20140323,10400.0
20140324,171200.0
20140325,427200.0
20140326,185700.0
20140327,201100.0
20140328,54900.0
20140329,37000.0
20140330,28300.0
20140331,75100.0
20140401,68700.0
20140402,28000.0
20140403,90600.0
20140404,65600.0
20140405,74600.0
20140406,33700.0
20140407,48600.0
20140408,144900.0
20140409,64500.0
20140410,60400.0
20140411,319000.0
20140412,19500.0
20140413,49400.0
20140414,42600.0
20140415,84900.0
20140416,67000.0
20140417,123400.0
20140418,46400.0
20140419,76400.0
20140420,32800.0
20140421,61200.0
20140422,58900.0
20140423,128500.0
20140424,64300.0
20140425,334400.0
20140426,20100.0
20140427,42600.0
20140428,82500.0
20140429,61700.0
20140430,73700.0
20140501,119100.0
20140502,21200.0
20140503,48700.0
20140504,78000.0
20140505,253200.0
20140506,58900.0
20140507,27700.0
20140508,65800.0
20140509,76400.0
20140510,23200.0
20140511,157600.0
20140512,62800.0
20140513,59900.0
20140514,70600.0
20140515,223400.0
20140516,36100.0
20140517,19200.0
20140518,57400.0
20140519,102900.0
20140520,43000.0
20140521,104100.0
20140522,52200.0
20140523,45900.0
20140524,65400.0
20140525,28100.0
20140526,13700.0
20140527,18300.0
20140528,52400.0
20140529,135400.0
20140530,73900.0
20140531,47100.0
20140601,7500.0
20140602,42700.0
20140603,31600.0
20140604,47800.0
20140605,158700.0
20140606,31900.0
20140607,40100.0
20140608,97200.0
20140609,57900.0
20140610,164900.0
20140611,77700.0
20140612,41800.0
20140613,48100.0
20140614,43300.0
20140615,126100.0
20140616,54300.0
20140617,36900.0
20140618,54900.0
20140619,30900.0
20140620,33700.0
20140621,538300.0
